"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","77/1593","212/9436",0.363207547169811,2.15142901135866,7.64158034439318,4.52040615471576e-12,1.56406052953165e-09,1.01828096537808e-09,"5293/5909/998/23566/10451/2773/55740/57568/3688/56288/51196/1813/10411/4254/3479/2254/2321/5587/26037/51466/207/7057/83660/5604/3480/5579/27040/5595/3684/2775/9564/3690/71/5296/2357/25780/23683/805/11069/23236/5332/5594/135/9223/5291/5028/5290/5156/3791/2250/1950/2247/9693/2533/2149/1946/51735/64411/5159/2324/5603/1268/4301/60/5898/1956/9863/2770/3082/889/9732/2260/2776/1902/5900/7410/8823",77
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","80/1593","233/9436",0.343347639484979,2.03379053746407,7.20084619494685,4.62943353746862e-11,8.00892001982072e-09,5.21420408956992e-09,"375790/832/9672/255631/1301/7135/84033/4811/56776/10529/3688/118461/288/11155/9124/8082/1466/1634/81624/1284/22795/23002/23224/161176/64423/7057/2200/29766/83660/7168/22801/4629/6645/4628/8735/752/4635/3690/1277/3691/71/1837/6382/72/2274/4703/114793/129446/3655/1290/2335/1286/1291/1292/2199/79188/4634/1605/22989/3693/256076/287/171024/3672/2201/6444/1297/3908/23345/60/1278/2318/137868/64236/6641/5339/7111/85301/1756/2273",80
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","69/1593","204/9436",0.338235294117647,2.00350799453491,6.5301890618044,2.10358955700404e-09,2.42613995574466e-07,1.57953742175041e-07,"5293/998/54361/6548/5567/10451/356/4660/7042/3688/288/355/51196/60495/3481/22800/960/2017/5058/867/23365/81029/3709/2065/4659/1634/3479/207/7057/5604/8826/3480/5579/5595/3690/1277/71/6093/4087/5296/9475/6382/2066/2335/117581/5594/3708/7474/3693/5291/5290/3791/10855/287/817/2247/29102/815/5603/60/1956/3082/8321/1278/6469/2260/5747/7410/4478",69
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","75/1593","232/9436",0.323275862068966,1.91489707123839,6.35866078651584,4.16932750916045e-09,3.60646829542379e-07,2.3479897025272e-07,"5293/998/6548/731/732/10451/4660/55740/3688/6387/1793/22800/5058/23365/4659/2254/221178/81624/8874/87/624/207/23191/5604/22801/8826/4629/5595/3684/3687/9564/4628/3690/3691/71/103910/6093/5296/2909/9475/10096/7852/3655/10787/200576/2335/5594/4638/3693/5291/5290/5062/5156/2250/1950/2247/730/3672/10788/2149/324/5159/26999/8936/60/1956/3984/93408/2260/51571/5747/1902/7410/4478/8823",75
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","63/1593","184/9436",0.342391304347826,2.02812576762466,6.34709613017896,6.1676338478514e-09,4.26800262271317e-07,2.77868135461095e-07,"5293/998/54361/2046/2773/55740/3688/56288/6387/219699/6585/57715/3983/5058/7225/23365/81029/57522/59277/80031/5595/103910/6093/5296/9475/7852/659/2043/4773/5594/9901/7474/6092/6091/2042/91653/5361/6259/2047/5291/5290/2049/5062/84448/658/5530/817/9037/5921/1946/815/2534/3984/2770/10512/9723/10371/223117/6469/1808/5747/10507/5998",63
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","67/1593","203/9436",0.330049261083744,1.95501872415958,6.19906543030072,1.11315360560436e-08,6.4191857923185e-07,4.17920827367252e-07,"5293/998/10451/4660/3688/1793/55742/5058/7450/2012/4659/3479/2321/1284/87/207/7057/83660/5604/22801/3480/5579/5595/9564/3690/1277/3691/71/103910/6093/596/5296/2909/9475/3655/2335/1286/1291/1292/5594/2317/4638/3693/256076/5291/5290/5062/5156/3791/1950/3672/5159/2324/1297/2534/3908/60/1956/3082/1278/93408/5649/5747/53358/3371/7410/331",67
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","38/1593","93/9436",0.408602150537634,2.42032008315952,6.20329251138948,3.38309533723593e-08,1.67221569526233e-06,1.08869534160675e-06,"998/117178/56288/29119/10580/5795/5787/10810/4008/87/7082/8826/3480/1387/5595/64750/71/103910/5797/6093/4089/5819/9475/1496/83439/6615/5594/1495/6885/8936/2534/4301/60/83605/1956/889/93408/2260",38
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","69/1593","226/9436",0.305309734513274,1.80847624285452,5.54407886813406,2.15885530359536e-07,9.33704918804991e-06,6.07888203907113e-06,"5293/6548/5142/5567/10451/2773/55811/779/134/3776/51196/22800/5058/1813/775/5139/10411/4659/488/10257/4792/2353/207/5604/10021/1387/5595/1258/6662/6093/5141/5296/5143/2696/9475/805/1261/11069/1385/5594/135/491/776/5291/5337/5290/6750/8310/817/64399/2891/5144/2149/814/64411/154/815/2890/1081/64208/10846/4301/9586/1395/2737/2770/9568/7410/492",69
"Organismal Systems","Immune system","hsa04611","Platelet activation","44/1593","126/9436",0.349206349206349,2.06849410615889,5.44152082576306,6.40217626419064e-07,2.46128109712218e-05,1.60241604741146e-05,"5293/5567/2773/3688/5592/23365/7450/3709/4659/207/10125/123745/283748/83660/5595/146850/23533/3690/1277/71/103910/6093/5296/2909/8605/9475/23236/5332/5594/3708/4638/5291/5028/5290/2982/2149/5603/2534/60/2770/1278/6916/2776/5742",44
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","25/1593","56/9436",0.446428571428571,2.6443816698054,5.56202522230281,1.05069944308395e-06,3.63542007307046e-05,2.36683874547331e-05,"5567/23432/84976/8945/51684/408/50937/53944/23295/64750/596/2736/8452/1454/102800317/91653/132884/2121/64399/1456/1452/23291/2737/8454/6469",25
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","40/1593","116/9436",0.344827586206897,2.04255687598762,5.09164982895369,2.9432812118852e-06,9.25795726647527e-05,6.02738927601372e-05,"5293/998/10451/2773/4688/3688/6387/29119/83700/10411/87/5579/3684/9564/71/103910/6093/5296/2909/9475/1496/7852/11069/58494/5291/5290/9076/1495/3702/5603/4301/60/1364/2770/93408/2185/5747/7410/100288814/4478",40
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","45/1593","138/9436",0.326086956521739,1.93154835011873,4.96807228214775,4.07719726066774e-06,0.000117559187682586,7.65368608581488e-05,"5293/998/6195/5586/10451/3586/3688/1793/23365/9815/8874/4792/2353/207/5604/27040/5595/9564/6416/6347/71/6093/5585/5296/9475/3553/10096/2335/63916/4773/5594/5291/5290/2533/64283/5603/6885/6196/60/3569/3984/2185/5747/2776/7410",45
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","94/1593","362/9436",0.259668508287293,1.53812432153101,4.70516926735264,5.57294679848063e-06,0.000148326122482638,9.65676611234701e-05,"5293/3716/23566/5586/3570/356/5525/3559/3688/5979/118788/3481/7450/2065/4254/3479/2254/2322/2321/1284/55012/54331/5527/207/7057/10681/5604/22801/3480/3566/5595/146850/23533/3690/1277/3691/57521/23239/596/6794/2057/5585/5296/898/7039/3655/1385/2066/2335/1286/1291/1292/5594/5008/9223/3693/256076/5523/5291/5290/59345/5156/3791/2250/1950/2247/5618/9180/3672/2149/1946/5159/2324/1297/2309/3908/4602/3569/9586/1956/9863/3082/1278/5649/1978/2260/23678/5747/3439/4915/1902/3371/7248/8823",94
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","30/1593","80/9436",0.375,2.22128060263654,4.94371104694148,7.57087058389379e-06,0.000180210359621143,0.000117325880617355,"5293/3716/3570/2065/3479/207/5604/3480/5579/5595/4763/596/5296/7039/5594/5291/5290/5156/3791/1950/2247/9542/5159/2309/3569/1956/3082/3084/1978/53358",30
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","26/1593","65/9436",0.4,2.36936597614564,4.99253335456799,7.81258784484726e-06,0.000180210359621143,0.000117325880617355,"5293/3782/779/408/775/3709/207/5604/5579/5595/3780/5296/3783/2797/23236/5332/5594/8911/3708/776/5291/5290/3781/1081/2776/9568",26
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","80/1593","300/9436",0.266666666666667,1.57957731743042,4.59760540792689,9.77376421527722e-06,0.00021135765115537,0.000137604311978245,"998/6195/1647/5567/356/777/779/9261/7042/11221/1326/5979/355/3481/22800/408/5058/93589/775/80824/2065/4254/3479/2254/2322/2321/4149/4293/2353/7043/207/10125/123745/283748/5604/5607/3480/5579/5595/6416/4763/9020/773/8605/25780/7039/3554/3553/10746/51776/2066/6789/5594/8911/9254/776/5062/5156/3791/2250/5530/1950/2247/9693/5921/1946/5159/1843/2324/5603/6885/4217/6196/1956/3082/781/2260/6788/4915/8823",80
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","29/1593","78/9436",0.371794871794872,2.2022952983405,4.80512469567421,1.29806788871327e-05,0.00025095539727029,0.000163384408323219,"5293/998/26052/3688/29119/1793/2017/867/9564/10801/71/1785/5296/1496/10096/2335/4735/63916/8218/5291/26084/5290/55752/79658/1495/8936/60/5747/53358",29
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","52/1593","174/9436",0.298850574712644,1.77021595918927,4.62138852446089,1.30554830949862e-05,0.00025095539727029,0.000163384408323219,"56998/54361/4919/5567/57216/59352/8945/1488/8061/81029/4040/144165/23002/440193/1387/5579/6477/85407/8313/147495/4089/9475/83439/343637/23236/5332/4773/164284/84133/1454/102800317/7474/166336/8607/6259/5530/27123/817/324/4163/1452/815/23291/6885/8321/8454/64321/340419/7091/7088/4920/27130",52
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","35/1593","103/9436",0.339805825242718,2.01281090206547,4.65772753244747,1.7355755835788e-05,0.000316057448378035,0.000205769071958927,"5293/2773/356/3586/7042/355/3458/4792/2353/7043/624/207/5595/2775/6416/4843/6347/6348/414062/4087/5296/3553/8837/23236/5332/3460/5594/5291/5290/5603/3459/3569/2770/9630/2776",35
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","38/1593","116/9436",0.327586206896552,1.94042903218824,4.59287683115448,1.99642329776655e-05,0.000345381230513614,0.000224860308274759,"5293/5567/2773/779/1103/775/3709/54331/2353/207/10681/5604/1136/5579/5595/2775/146850/23533/596/773/5296/1385/23236/5332/5594/3708/776/5291/5290/59345/817/814/815/56479/2534/9586/2770/2776",38
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","31/1593","89/9436",0.348314606741573,2.06321194552008,4.54167927633841,2.99020356969887e-05,0.000492671635769433,0.000320753666123087,"375790/3688/960/7450/1284/7057/22801/9899/3690/1277/3691/6382/3655/2335/1286/1291/1292/1605/961/3693/256076/80144/255743/3672/22987/1297/3908/948/1278/5649/3371",31
"Organismal Systems","Nervous system","hsa04730","Long-term depression","23/1593","60/9436",0.383333333333333,2.27064239380624,4.44967098252321,5.75181447533355e-05,0.000904603549302458,0.000588941769244679,"2773/5592/3709/3479/123745/283748/5604/3480/5579/5595/2775/773/8605/23236/5332/5594/3708/2895/2982/2891/2890/2770/2776",23
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","38/1593","122/9436",0.311475409836066,1.84499809617898,4.233555539969,6.97569540091112e-05,0.00104938722118054,0.00068320311935697,"5293/2773/134/5525/259230/8879/9846/55012/9517/624/123099/5527/207/5604/4363/5579/5595/6093/596/5296/10715/9475/5581/23236/5332/5594/5523/5291/165679/5337/5290/5603/2534/4217/2770/8439/2776/1903",38
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","35/1593","110/9436",0.318181818181818,1.88472293557039,4.20623619052171,8.23105275068117e-05,0.0011866434382232,0.00077256372309025,"6497/3065/7042/7044/4838/3458/1634/652/7043/26585/7057/2200/4091/79875/1387/5595/9611/64750/6093/4087/4089/4052/92/90/659/5594/7018/658/10468/9765/285704/653/3624/8454/392255",35
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","16/1593","36/9436",0.444444444444444,2.63262886238404,4.42295505426175,9.90468966911332e-05,0.00134644786837384,0.000876604331706729,"256435/2590/374378/11226/57452/10610/2589/10331/11227/9334/117248/55568/56913/168391/6482/2650",16
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","29/1593","86/9436",0.337209302325581,1.9974306194251,4.18758705897146,0.000104288452898921,0.00134644786837384,0.000876604331706729,"779/3688/29119/93589/775/8082/488/22801/6645/3690/3691/71/1837/1496/83439/3655/1605/9254/776/3693/3672/1495/6444/3908/60/781/137868/6641/1756",29
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","45/1593","155/9436",0.290322580645161,1.71970111171861,4.07153684200805,0.000105069631347092,0.00134644786837384,0.000876604331706729,"5567/2773/5743/779/4660/57172/93589/775/3709/4659/2353/6263/123745/283748/5604/5607/5579/5595/2775/146850/23533/71/6093/8605/9475/805/23236/5332/4773/5594/3708/9254/776/4638/5530/817/2982/814/815/60/1956/2770/781/51422/2776",45
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","36/1593","116/9436",0.310344827586207,1.83830118838886,4.09410383335526,0.00011642210402729,0.00135351440434521,0.0008812049970486,"5567/2773/6506/22941/2900/775/3709/81539/54331/123745/283748/10681/5579/5595/2775/773/2901/8605/50944/2744/23236/5332/5594/85358/3708/776/5337/59345/5530/2891/9456/2890/2914/2770/6505/2776",36
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","32/1593","99/9436",0.323232323232323,1.91463917264294,4.12288715516,0.000117356740261145,0.00135351440434521,0.0008812049970486,"5293/998/65108/10451/1793/5058/9846/10810/207/123745/283748/5604/5579/27040/5595/1785/5296/8605/8853/5581/10096/5594/5580/5291/5337/5290/4651/8936/273/3984/50807/7410",32
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","32/1593","99/9436",0.323232323232323,1.91463917264294,4.12288715516,0.000117356740261145,0.00135351440434521,0.0008812049970486,"779/7042/3688/93589/775/8082/3479/488/7043/7168/22801/6645/3690/3691/71/1837/3655/4634/1605/9254/776/3693/3672/6444/3908/60/3569/781/51422/137868/6641/1756",32
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","82/1593","333/9436",0.246246246246246,1.45861869402359,3.83989484397139,0.000159684124980187,0.00172829466307484,0.00112520553056896,"54626/5293/23352/998/54361/3065/3716/5567/4853/356/5743/5525/3688/56288/355/1740/81029/7450/8638/1284/55012/64398/5527/7187/207/7057/5604/22801/5315/527/1387/5595/3996/535/3690/1277/8313/3691/5296/898/83439/3655/1385/2335/1286/1869/11317/1291/1292/5594/7474/9223/523/3693/256076/5523/5291/5290/1739/3516/1950/3672/324/1452/5159/9794/3135/1297/3908/9586/1956/8321/1278/5649/50617/1978/51606/5747/3439/3371/7248/1741",82
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","37/1593","122/9436",0.30327868852459,1.79644551470059,3.99030049451135,0.00015984228097802,0.00172829466307484,0.00112520553056896,"5293/998/10451/3586/5525/1326/5058/3458/55012/4792/2353/5527/207/10125/5604/27040/5595/9020/5296/940/1493/4773/5594/9402/5523/5291/5290/5062/1739/7006/5530/1437/3702/5603/6885/2534/7410",37
"Human Diseases","Cancer: specific types","hsa05214","Glioma","26/1593","76/9436",0.342105263157895,2.02643142696666,4.04889528649097,0.000179401634427511,0.00188099895490663,0.00122462359704904,"5293/1647/57172/3479/207/5604/3480/5579/5595/5296/805/7039/1869/5594/5291/5290/5156/1950/817/51426/814/5159/815/1871/1956/53358",26
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","62/1593","238/9436",0.260504201680672,1.54307448026292,3.82418508906464,0.000195889619021177,0.00199346494650963,0.00129784453469139,"5293/998/5567/356/9462/27/23179/51196/3481/22800/5058/9846/2113/4254/3479/2254/2322/2321/54331/207/10125/123745/283748/10681/5604/3480/5579/27040/5595/8844/4763/5296/8605/25780/805/7039/57148/6789/5594/5291/5337/5290/59345/5062/5156/3791/2250/1950/2247/5921/1946/5159/2324/4301/5898/1956/3082/2260/4915/53358/5900/8823",62
