"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","peak_id","chr","start","end"
136.949632345915,-1.01578832017209,0.300257830668965,-3.38305355070656,0.000716846530604075,0.00931629902425129,"chr1_958489_959947","chr1",958489,959947
76.7968241985379,1.32505714451277,0.358942674432308,3.69155644869597,0.000222885914911773,0.00399693191691688,"chr1_1868518_1870107","chr1",1868518,1870107
162.086574177706,1.06290435255716,0.222200663648067,4.78353365424978,1.72240037447951e-06,9.21193027331344e-05,"chr1_2134319_2135919","chr1",2134319,2135919
97.5336684079652,-1.19296207857286,0.307331838338325,-3.88167423532473,0.000103739785103073,0.00227191786560796,"chr1_2255657_2256538","chr1",2255657,2256538
80.9064644923464,1.53383189297971,0.363653291790838,4.21784135495168,2.46652252339073e-05,0.000766775295565197,"chr1_3548142_3548700","chr1",3548142,3548700
143.391275599083,-1.34369582335458,0.318855726726713,-4.21411852046255,2.50755589671938e-05,0.000775428666903931,"chr1_3649713_3650431","chr1",3649713,3650431
57.9892694763095,-1.71137337291474,0.482363240172515,-3.54789343462962,0.000388325302112384,0.00598509918978046,"chr1_6037215_6037961","chr1",6037215,6037961
85.9349681517417,-1.10267721219164,0.357088776543342,-3.08796379114928,0.00201533024725383,0.0194503132873821,"chr1_6180178_6181957","chr1",6180178,6181957
62.2417812755191,-1.62169368216016,0.464262725291022,-3.49305165764408,0.000477534121941622,0.00696092934051958,"chr1_6240109_6240859","chr1",6240109,6240859
85.5186520273555,-1.28343968694651,0.347586366561328,-3.69243391115589,0.000222118072667493,0.00398592091883386,"chr1_6753265_6754102","chr1",6753265,6754102
46.7013216492925,-1.89142745221761,0.500264819829389,-3.78085241505222,0.000156292309146761,0.00306975560493914,"chr1_7295909_7296415","chr1",7295909,7296415
77.1946790222749,-1.71652944008167,0.442015237772013,-3.88341689018205,0.000102998748001792,0.00225929813716891,"chr1_7920436_7921001","chr1",7920436,7921001
87.4384786669859,1.20431143574186,0.33289060110515,3.61773937667125,0.000297187428228346,0.00493654004115087,"chr1_8059027_8059746","chr1",8059027,8059746
95.9084421509782,1.05097257573598,0.323986011425312,3.24388257107903,0.00117912346783619,0.0133065110569078,"chr1_8595831_8596480","chr1",8595831,8596480
58.9519825985886,1.02963894747143,0.356518254295508,2.888039911185,0.00387650681708766,0.0307204297408852,"chr1_9171413_9172782","chr1",9171413,9172782
85.3344398495209,1.81540284613421,0.316603766235098,5.73399005236774,9.80950871004605e-09,1.36531431127286e-06,"chr1_10082596_10083571","chr1",10082596,10083571
114.637856758549,1.37204024236369,0.281694126750517,4.87067394052855,1.11218243299852e-06,6.48368464855844e-05,"chr1_10253615_10254259","chr1",10253615,10254259
47.0324289849755,1.29358502749337,0.459561866506571,2.81482238142766,0.00488041996992708,0.0361112445323641,"chr1_10310162_10311379","chr1",10310162,10311379
74.8869958272093,-1.63024857827442,0.38402155340502,-4.24520072849929,2.18397822618217e-05,0.000697118730892769,"chr1_10415157_10415897","chr1",10415157,10415897
57.2784633569355,2.87982939505977,0.46550027804389,6.18652561747395,6.15046935071577e-10,1.37105462705102e-07,"chr1_11281279_11282553","chr1",11281279,11282553
56.2354603669522,-1.28736241143502,0.427016975276756,-3.01478040914102,0.00257165370438366,0.0230985497664869,"chr1_11447838_11448819","chr1",11447838,11448819
116.725006557632,-1.2429257265527,0.448816949864099,-2.76933775992429,0.00561703714227405,0.0397659544033081,"chr1_11478274_11479684","chr1",11478274,11479684
70.9215023061003,-1.24664002685547,0.414032746958825,-3.01096962984777,0.00260414897565606,0.0233039036434443,"chr1_11729610_11730799","chr1",11729610,11730799
160.886966906913,1.10413140884973,0.240088942472061,4.59884323484918,4.2484330989953e-06,0.000191494584777041,"chr1_11820582_11822549","chr1",11820582,11822549
140.183835842068,-1.38554886335004,0.291295833750389,-4.75650078997463,1.9697746866125e-06,0.00010300556668575,"chr1_11930782_11931643","chr1",11930782,11931643
86.616640721991,1.22826904368564,0.321929187170645,3.81533918834944,0.000135995998718365,0.00276703958413325,"chr1_12112503_12114283","chr1",12112503,12114283
75.3273087519142,1.19633483776289,0.350257984915849,3.41558191185938,0.000636458840623717,0.00856612035199055,"chr1_12423745_12425258","chr1",12423745,12425258
79.8479839601119,-1.157684489515,0.369921147241261,-3.12954395321435,0.00175077878033114,0.0175648018214049,"chr1_12435579_12436461","chr1",12435579,12436461
71.4344750409171,1.17216297638317,0.365039451650708,3.21105834200289,0.00132247082613648,0.0144372355759645,"chr1_12447140_12447771","chr1",12447140,12447771
107.604302046447,1.06683642761252,0.30522971912768,3.49519185307854,0.0004737211085449,0.00692252215767949,"chr1_12453299_12455380","chr1",12453299,12455380
63.1284167593551,3.14694866370883,0.482204842367337,6.52616561928162,6.74747087892627e-11,2.14136686414855e-08,"chr1_12460952_12461721","chr1",12460952,12461721
156.160731870625,2.03177936843396,0.270356345259418,7.51519024450632,5.68282347840273e-14,4.4519239129807e-11,"chr1_12464111_12465081","chr1",12464111,12465081
129.430989795167,2.35567263743201,0.289205807551317,8.14531581290605,3.78293264337389e-16,6.10142530286286e-13,"chr1_12649953_12650660","chr1",12649953,12650660
60.0758945792168,-1.97369564163679,0.45101672269753,-4.37610301860233,1.2081992838189e-05,0.00043877637302027,"chr1_13723711_13724286","chr1",13723711,13724286
134.483456121171,3.00126527438551,0.313125868541258,9.58485253347906,9.25898165919927e-22,7.61616054340755e-18,"chr1_14486147_14487144","chr1",14486147,14487144
65.3894407177338,-1.21067932993455,0.400457670598594,-3.02323920559408,0.00250084478948382,0.0226438886616221,"chr1_14519899_14520443","chr1",14519899,14520443
114.942076541779,1.35812177959373,0.313879102413763,4.3268945563742,1.51226309677553e-05,0.000520695795527268,"chr1_14942840_14943409","chr1",14942840,14943409
66.4977640519816,-1.20234182576142,0.398120814708443,-3.0200426135517,0.00252739123208964,0.0228130824731699,"chr1_15111957_15112750","chr1",15111957,15112750
93.1868457197581,-1.00989260606036,0.370625931986128,-2.724829859175,0.00643346303331814,0.0437136435430076,"chr1_16055597_16056553","chr1",16055597,16056553
186.538821629237,1.22792913728868,0.231529545262235,5.30355266710303,1.13570417654109e-07,1.03454726965383e-05,"chr1_16534204_16535947","chr1",16534204,16535947
101.396043254179,-1.51760921734093,0.337804264876085,-4.49256973679009,7.0368864411592e-06,0.000284267655058912,"chr1_16920927_16922137","chr1",16920927,16922137
98.4480360251051,1.00376066334526,0.322719915101874,3.11031521878159,0.00186887785760495,0.018397353510413,"chr1_16967031_16967706","chr1",16967031,16967706
88.1046989997658,-1.42256223146758,0.36018747382399,-3.94950500739159,7.83129727260132e-05,0.00184737315673177,"chr1_17207581_17208533","chr1",17207581,17208533
99.1933166945247,-1.16557830286996,0.331550599616808,-3.51553670606263,0.000438866088521118,0.00654287809666035,"chr1_17369377_17369910","chr1",17369377,17369910
82.2747559220806,1.34460063266462,0.371881311273893,3.61567143037826,0.000299570149144472,0.00496203502547708,"chr1_17618022_17618808","chr1",17618022,17618808
108.203858414237,1.11810664318242,0.293900274986442,3.80437426686314,0.000142163098700298,0.00286404849615244,"chr1_18941165_18942132","chr1",18941165,18942132
